Vinícius Arruda Pavão

  1 0.250000 -4.683594
  2 1.625000 -2.698975
  3 2.312500 12.179459
  4 1.968750 2.332765
  5 1.796875 -0.667640
  6 1.882812 0.697580
  7 1.839844 -0.016993
  8 1.861328 0.332083
  9 1.850586 0.155520
 10 1.845215 0.068761
 11 1.842529 0.025758
 12 1.841187 0.004351
 13 1.840515 -0.006329
 14 1.840851 -0.000991
 15 1.841019 0.001680
 16 1.840935 0.000345
 17 1.840893 -0.000323
 18 1.840914 0.000011
  0 1.500000 -3.687500
  1 2.067299 4.578137
  2 1.883708 0.713178
  3 1.842801 0.030101
  4 1.840917 0.000062
